dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar100,CNN1,none,5,3,fed_avg,1,1,0,0.0696,9.210810661315918,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,1,1,0.0691,9.331175804138184,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,1,2,0.0687,9.622367858886719,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,1,3,0.0778,9.394698143005371,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,1,4,0.0717,8.628412246704102,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,2,0,0.0864,8.737399101257324,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,2,1,0.0833,8.862765312194824,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,2,2,0.0879,8.323375701904297,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,2,3,0.0802,9.749594688415527,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,2,4,0.0799,8.881939888000488,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,3,0,0.09390000000000001,8.990687370300293,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,3,1,0.09269999999999999,8.755266189575195,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,3,2,0.08990000000000001,8.111377716064453,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,3,3,0.1069,8.754283905029297,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,3,4,0.0883,8.301347732543945,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,4,0,0.0966,8.857109069824219,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,4,1,0.09480000000000001,8.788609504699707,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,4,2,0.0937,8.566282272338867,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,4,3,0.1091,9.017991065979004,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,4,4,0.09139999999999998,8.54676628112793,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,5,0,0.09539999999999998,8.79606819152832,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,5,1,0.1017,8.376113891601562,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,5,2,0.0998,8.299790382385254,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,5,3,0.1122,8.360940933227539,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,5,4,0.0969,8.39646053314209,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,6,0,0.0987,7.995354652404785,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,6,1,0.10059999999999998,8.722786903381348,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,6,2,0.1026,7.744016647338867,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,6,3,0.11690000000000002,8.345474243164062,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,6,4,0.09790000000000001,7.768019676208496,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,7,0,0.1025,8.54253101348877,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,7,1,0.10459999999999998,8.540024757385254,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,7,2,0.10949999999999999,7.4866943359375,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,7,3,0.1165,8.452770233154297,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,7,4,0.0998,7.820950031280518,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,8,0,0.1011,8.711233139038086,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,8,1,0.1078,8.08313274383545,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,8,2,0.0996,7.601162433624268,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,8,3,0.1173,8.445523262023926,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,8,4,0.1018,7.875481605529785,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,9,0,0.1029,7.878969192504883,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,9,1,0.1069,8.778564453125,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,9,2,0.1072,7.839803218841553,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,9,3,0.124,8.558565139770508,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,9,4,0.1069,7.848535537719727,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,10,0,0.1043,8.293256759643555,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,10,1,0.11,7.827808380126953,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,10,2,0.1088,7.979650020599365,0,0,0
cifar100,CNN1,none,5,3,fed_avg,1,10,3,0.1215,8.484516143798828,0,0,0
