dataset,iid,network,model,algorithm,num_rounds,num_agents,num_iter,local_epochs,time_per_iter_mean,time_per_iter_std
cifar10,0,none,CNN1,normal,200,5,,5,152.3869207751751,0.5306825561379559
cifar10,1,none,CNN1,fed_avg,200,5,,5,153.87939690589906,0.5512317058281613
cifar10,1,none,CNN1,normal,200,5,,5,150.3867934179306,0.5468141330284964
cifar10,1,none,CNN1,fed_prox,200,5,,5,155.99820042490958,0.9496705301958092
cifar10,2,none,CNN1,fed_avg,200,5,,5,153.26538596630095,0.5003543646282512
cifar10,2,none,CNN1,fed_prox,200,5,,5,153.73327399492263,1.030885216132168
cifar10,1,none,CNN1,fed_mutual,200,5,,5,160.0081568968296,1.1513381278658348
cifar10,2,none,CNN1,normal,200,5,,5,153.18104128599168,0.6319528071335957
cifar10,2,none,CNN1,fed_mutual,200,5,,5,159.5485546696186,1.3401674479260834
cifar10,3,none,CNN1,fed_avg,200,5,,5,154.95147597193719,0.47381641801557234
cifar10,3,none,CNN1,fed_prox,200,5,,5,154.96895820140838,0.9141894541902144
cifar10,3,none,CNN1,normal,200,5,,5,153.34079868793486,0.5900269697515768
cifar10,0,none,CNN2,fed_avg,200,5,,5,153.6195143866539,0.9974588665348781
cifar10,3,none,CNN1,fed_mutual,200,5,,5,157.3906692111492,1.1475564808547767
cifar10,0,none,CNN2,fed_prox,200,5,,5,158.34197116971015,0.9910918600638532
cifar10,1,none,CNN2,fed_avg,200,5,,5,154.9062188577652,1.082450735031025
cifar10,0,none,CNN2,normal,200,5,,5,155.9688169801235,0.9293580398509238
cifar10,1,none,CNN2,fed_prox,200,5,,5,156.82034505486487,0.8601078143967676
cifar10,1,none,CNN2,normal,200,5,,5,154.17027189016343,1.163149221096576
cifar10,0,none,CNN2,fed_mutual,200,5,,5,159.83576774001122,1.094184588427074
cifar10,2,none,CNN2,fed_avg,200,5,,5,154.5297690629959,0.9775449278620801
cifar10,1,none,CNN2,fed_mutual,200,5,,5,160.2754955804348,1.0845882432571559
cifar10,2,none,CNN2,fed_prox,200,5,,5,156.74179265022278,0.9123734397220604
cifar10,2,none,CNN2,fed_mutual,200,5,,5,158.90929593443872,0.9903715743329871
cifar100,0,none,CNN1,normal,200,5,,5,150.4924843788147,0.711544065655154
cifar10,3,none,CNN2,fed_avg,200,5,,5,156.29993693947793,1.2214686895938358
cifar10,3,none,CNN2,fed_prox,200,5,,5,156.79515454769134,1.0264367368112473
cifar100,0,none,CNN1,fed_avg,200,5,,5,154.6412163579464,0.7759892410275794
cifar100,0,none,CNN1,fed_prox,200,5,,5,156.73957167506217,0.941108423441788
cifar100,1,none,CNN1,fed_prox,200,5,,5,155.33462316155433,1.0274063901628832
cifar100,2,none,CNN1,fed_avg,200,5,,5,151.7930348801613,0.5915293627916217
cifar100,2,none,CNN1,normal,200,5,,5,150.27212361454963,0.5255817470525502
cifar100,1,none,CNN1,normal,200,5,,5,153.87723070263863,0.5241854379466288
cifar100,1,none,CNN1,fed_mutual,200,5,,5,158.72835226655008,1.5245835019931926
cifar100,2,none,CNN1,fed_prox,200,5,,5,159.63950567364694,0.88530260853343
cifar100,2,none,CNN1,fed_mutual,200,5,,5,159.23218876481056,1.3658967932332684
cifar100,3,none,CNN1,normal,200,5,,5,155.09704710602762,0.7295586631775983
cifar100,3,none,CNN1,fed_mutual,200,5,,5,161.30816724777222,1.3397681859474186
cifar100,0,none,CNN2,fed_avg,200,5,,5,157.86390970110892,0.921753223312245
cifar100,0,none,CNN2,normal,200,5,,5,155.71616112709046,0.8525165687690004
cifar100,0,none,CNN2,fed_prox,200,5,,5,158.04043174624442,1.1141228798785958
cifar100,1,none,CNN2,fed_prox,200,5,,5,155.8898885655403,0.9565050378658269
cifar100,1,none,CNN2,fed_avg,200,5,,5,156.39516198158265,1.1345040401968167
cifar100,0,none,CNN2,fed_mutual,200,5,,5,157.78180649638176,0.9810690873597196
cifar100,1,none,CNN2,fed_mutual,200,5,,5,157.81065093159677,1.4133395414920509
cifar100,3,none,CNN2,fed_prox,200,5,,5,154.99322359085082,0.736767953356752
cifar100,3,none,CNN2,normal,200,5,,5,151.77740292191504,0.64040146537021
cifar100,3,none,CNN2,fed_mutual,200,5,,5,158.1885287976265,0.8778269143337106
cifar10,2,none,CNN2,normal,200,5,,5,351.21034405708315,1.7563406860904258
cifar10,3,none,CNN2,normal,200,5,,5,354.8420112836361,1.867432451023777
cifar100,0,none,CNN1,fed_mutual,200,5,,5,355.7806698274612,1.864018240647575
cifar100,1,none,CNN1,fed_avg,200,5,,5,355.7221673953533,1.3425873780147997
cifar10,3,none,CNN2,fed_mutual,200,5,,5,363.0190156841278,1.4532133694395761
cifar100,3,none,CNN1,fed_avg,200,5,,5,348.4344491314888,1.464876242666991
cifar100,3,none,CNN1,fed_prox,200,5,,5,356.22042068600655,2.966914451631336
cifar100,1,none,CNN2,normal,200,5,,5,350.9228006184101,1.374725275374791
cifar100,2,none,CNN2,fed_avg,200,5,,5,353.6122298884392,1.843078892576419
cifar100,2,none,CNN2,fed_prox,200,5,,5,359.3404509103298,2.1266230410023703
cifar100,2,none,CNN2,normal,200,5,,5,345.95509749531743,2.289503440434015
cifar100,2,none,CNN2,fed_mutual,200,5,,5,360.31930060744287,3.347809316003674
cifar100,3,none,CNN2,fed_avg,200,5,,5,350.85887730240825,1.6147010087247633
