dataset,iid,network,model,algorithm,num_rounds,num_agents,num_iter,local_epochs,time_per_iter_mean,time_per_iter_std
mnist,0,none,MLP,normal,200,5,,5,119.19874393939972,0.43072919744201943
mnist,0,none,MLP,fed_avg,200,5,,5,125.62219398498536,2.646330079234683
mnist,1,none,MLP,normal,200,5,,5,120.24955430269242,0.2772171635231248
mnist,1,none,MLP,fed_mutual,200,5,,5,124.6503926742077,0.41398768708508693
mnist,1,none,MLP,fed_prox,200,5,,5,127.47976451277732,2.4728536060800166
mnist,3,none,MLP,fed_avg,200,5,,5,121.00539658427239,0.5123893450834802
mnist,0,none,MLP,fed_mutual,200,5,,5,129.9192295384407,3.726669141260545
mnist,3,none,MLP,normal,200,5,,5,121.10687838196755,0.8953929863583494
mnist,2,none,MLP,fed_mutual,200,5,,5,127.59097253322601,0.6312810522637997
mnist,3,none,MLP,fed_prox,200,5,,5,127.59748406291008,2.5690472006933533
mnist,0,none,LeNet5,fed_avg,200,5,,5,127.20533960700035,0.7730649387188989
mnist,1,none,LeNet5,normal,200,5,,5,124.71204346418381,0.6224441944932477
mnist,0,none,LeNet5,fed_prox,200,5,,5,129.59239584088326,0.6746114624365873
mnist,2,none,LeNet5,fed_avg,200,5,,5,124.91410719037056,0.3595726734275083
mnist,1,none,LeNet5,fed_avg,200,5,,5,127.77509446382523,0.8917478397354414
mnist,2,none,LeNet5,normal,200,5,,5,126.35039358973503,0.7436170397945744
mnist,0,none,LeNet5,fed_mutual,200,5,,5,131.73957869768142,1.7241698846038436
mnist,3,none,LeNet5,fed_avg,200,5,,5,127.78352940797805,3.203153513997722
mnist,1,none,LeNet5,fed_prox,200,5,,5,132.0583358001709,3.0641599293925705
mnist,2,none,LeNet5,fed_prox,200,5,,5,131.57671293258667,0.805180535657795
mnist,3,none,LeNet5,normal,200,5,,5,127.38143412470818,2.960421921371459
mnist,2,none,LeNet5,fed_mutual,200,5,,5,132.31694161891937,1.685334588985754
cifar10,0,none,CNN1,fed_mutual,200,5,,5,160.28508098840715,1.8569767968014734
mnist,1,none,MLP,fed_avg,200,5,,5,272.267292740345,0.833632020957791
mnist,2,none,MLP,normal,200,5,,5,272.3211024439335,0.8170207080906224
mnist,2,none,MLP,fed_avg,200,5,,5,276.5727594184875,0.5767581519947556
mnist,0,none,MLP,fed_prox,200,5,,5,283.2103098917007,0.8979288020237017
mnist,2,none,MLP,fed_prox,200,5,,5,278.4716023170948,0.8591745235579167
mnist,3,none,MLP,fed_mutual,200,5,,5,285.5518158316612,1.3060148202233377
mnist,0,none,LeNet5,normal,200,5,,5,283.18067252993586,0.8443578233276151
mnist,3,none,LeNet5,fed_prox,200,5,,5,291.22268008351324,0.8836387520326409
mnist,1,none,LeNet5,fed_mutual,200,5,,5,297.7118571186066,2.012404562089616
mnist,3,none,LeNet5,fed_mutual,200,5,,5,294.3879919016361,1.8298769669254706
cifar10,0,none,CNN1,fed_avg,200,5,,5,347.03123639464377,0.7640962981666969
cifar10,0,none,CNN1,fed_prox,200,5,,5,354.8799958252907,1.3779541090885383
